Symbol,Industry Major,Industry Minor,Rank,Value,Growth,Momentum,VGM,Net Income 4 Years Ago,Net Income 3 Years Ago,Net Income 2 Years Ago,Net Income 1 Years Ago,Net Income Most Recent
BCOR,Technology Services,,Bottom 32% (171 out of 252),D,F,C,F,27,51,48,-343,8
BBQ,Retail,Restaurants,Bottom 32% (171 out of 252),B,A,B,A,-8,5,-1,5,24
BCC,Building Products,Wood,Top 11% (27 out of 252),A,C,A,A,83,20,81,175,712
BCBP,Banks,Northeast,Top 15% (37 out of 252),B,B,C,B,10,17,21,21,34
BELFB,Electronics,Miscellaneous Products,Bottom 28% (181 out of 252),B,D,C,C,-12,21,-9,13,25
BHR,REIT and Equity Trust,Other,Top 44% (110 out of 252),C,D,F,F,23,1,0,-105,-27
BKE,Retail,Apparel and Shoes,Top 33% (83 out of 252),A,A,A,A,90,96,104,130,255
BLDR,Building Products,Retail,Top 5% (12 out of 252),A,A,A,A,39,205,222,314,1,725
BMO,Banks,Foreign,Bottom 29% (179 out of 252),F,F,F,F,4,086,4,236,4,332,3,792,6,167
BY,Banks,Northeast,Top 15% (37 out of 252),D,C,C,C,22,41,57,37,93
CALM,Agriculture,Products,Top 11% (27 out of 252),F,A,D,D,-74,126,54,18,2
CBFV,Banks,Northeast,Top 15% (37 out of 252),C,F,A,D,7,7,14,-11,12
CCB,Banks,West,Top 15% (39 out of 252),F,D,D,F,5,10,13,15,27
CCRN,Staffing Firms,,Top 11% (27 out of 252),C,F,F,F,38,-17,-58,-13,132
CCS,Building Products,Home Builders,Top 24% (60 out of 252),C,F,B,D,50,96,113,206,499
CEIX,Coal,,Top 2% (5 out of 252),A,B,B,A,68,153,76,-10,34
CFBK,Banks,Northeast,Top 15% (37 out of 252),A,C,A,A,1,4,10,30,18
CFR,Banks,Southwest,Top 8% (19 out of 252),F,F,A,F,364,455,444,331,443
CHK,Alternative Energy,Other,Bottom 35% (165 out of 252),B,F,A,D,949,873,-308,-9,734,6,328
CHS,Retail,Apparel and Shoes,Top 33% (83 out of 252),B,D,F,F,101,36,-13,-360,46
CIB,Banks,Foreign,Bottom 29% (179 out of 252),D,D,D,D,785,798,935,83,1,226
CLAR,Leisure and Recreation Products,,Bottom 40% (152 out of 252),F,C,C,D,-1,7,19,6,26
CLH,Waste Removal Services,,Top 44% (112 out of 252),C,C,F,C,101,66,98,135,203
CLS,Electronics,Manufacturing Services,Top 8% (21 out of 252),A,C,C,A,105,99,70,61,104
CLW,Paper and Related Products,,Top 24% (61 out of 252),B,D,C,C,97,-144,-6,77,-28
CMC,Steel,Producers,Top 11% (27 out of 252),D,F,B,D,46,139,198,280,413
CNQ,Oil and Gas,Exploration and Production,Top 44% (112 out of 252),D,B,D,B,1,849,1,999,4,082,-325,6,115
CNXN,Retail,Computer Hardware,Top 1% (1 out of 252),D,B,F,C,55,65,82,56,70
COLB,Banks,West,Top 15% (39 out of 252),D,F,A,F,113,173,194,154,203
COLL,Medical,Drugs,Bottom 40% (151 out of 252),A,F,F,D,-75,-39,-23,27,72
COLM,Textile,Apparel,Top 28% (71 out of 252),D,A,F,B,105,268,330,108,354
CPRI,Retail,Apparel and Shoes,Top 33% (83 out of 252),B,B,F,B,553,592,543,-223,-62
CRSR,Gaming,,Bottom 25% (189 out of 252),C,D,F,D,24.72,-14,-8,103,101
CTLP,Financial Transaction Services,,Bottom 36% (161 out of 252),F,D,D,F,-2,-11,-32,-41,-9
CVE,Oil and Gas,Integrated,Top 2% (4 out of 252),C,A,D,B,2,597,-2,059,1,653,-1,776,468
CVCO,Building Products,Mobile Homes and RV Builders,Top 7% (18 out of 252),D,B,C,C,38,62,69,75,77
CVX,Oil and Gas,Integrated,Top 16% (40 out of 252),D,B,A,C,9,195,14,824,2,924,-5,543,15,625
CWK,Real Estate,Operations,Top 27% (67 out of 252),B,A,D,A,-221,-186,0,-221,250
CYBE,Lasers Systems and Components,,Bottom 28% (182 out of 252),F,B,B,C,1,3,1,6,13
DCP,Oil and Gas,Production and Pipelines,Top 11% (27 out of 252),B,A,C,A,229,298,17,-306,391
DHI,Building Products,Home Builders,Top 24% (60 out of 252),C,F,A,D,1,038,1,460,1,619,2,374,4,176
DIOD,Electronics,Semiconductors,Top 35% (87 out of 252),C,B,B,B,-2,104,153,98,229
DLHC,Staffing Firms,,Top 11% (27 out of 252),C,C,F,C,3,2,5,7,10
DOOO,Automotive,Original Equipment,Bottom 14% (216 out of 252),B,A,D,A,213,175,280,272,634
DQ,Chemical,Specialty,Bottom 37% (158 out of 252),A,C,B,A,93,38,30,129,756
DOW,Chemical,Diversified ,Bottom 31% (175 out of 252),A,B,D,A,466,4,499,-1,359,1,225,6,311
DSGX,Computer,Software,Bottom 31% (175 out of 252),F,C,B,F,27,31,37,52,86
DVN,Oil and Gas,Exploration and Production,Top 25% (63 out of 252),D,A,C,B,898,3,064,-355,-2,680,2,813
EDR,Media Conglomerates,,Top 28% (71 out of 252),F,B,C,D,-19.51,317,-554,-655,-328
EPR,REIT and Equity Trust,Retail,Top 31% (77 out of 252),F,F,D,F,263,267,202,-132,99
EXPD,Transportation,Services,Top 20% (51 out of 252),D,D,C,D,489,618,590,696,1,415
FBNC,Banks,Southeast,Top 16% (41 out of 252),D,F,A,D,46,89,92,81,96
FELE,Manufacturing,Electronics,Top 43% (108 out of 252),D,C,D,D,78,106,95,100,154
FISI,Banks,Northeast,Top 15% (37 out of 252),C,D,D,D,34,40,49,38,78
FLEX,Electronics,Miscellaneous Products,Bottom 28% (181 out of 252),A,C,A,A,320,429,93,88,613
FMAO,Banks,Northeast,Top 15% (37 out of 252),F,D,C,F,13,15,18,20,24
FNKO,Consumer Products,Discretionary,Bottom 40% (152 out of 252),B,C,F,C,4,9,12,4,44
FUN,Leisure and Recreation Services,,Top 44% (110 out of 252),D,D,F,D,215,127,172,-590,-49
